seq ,id   ,name                                  ,url                                                                         ,inst1                                                                                  ,institute                                                                            ,institute-url                          ,flag
  1 ,AU01 ,sUNSWim                               ,                                                                            ,University of New South Wales                                                          ,University of New South Wales                                                        ,https://www.unsw.edu.au/               ,🇦🇺
  2 ,AZ01 ,DeepDivers                            ,                                                                            ,STEAM Azerbaijan                                                                       ,STEAM Azerbaijan                                                                     ,https://steam.edu.az/                  ,🇦🇿
  3 ,BD01 ,IUB BongoMarine                       ,https://www.instagram.com/iubbongomarine/                                   ,Independent University                                                                 ,Independent University                                                               ,https://www.iub.edu.bd/                ,🇧🇩
  4 ,BD02 ,SUST Onushondhan                      ,                                                                            ,Shahjalal University of Science & Technology                                           ,Shahjalal University of Science and Technology                                       ,https://www.sust.edu/                  ,🇧🇩
  5 ,HK01 ,HKUST AUV                             ,                                                                            ,The Hong Kong University of Science and Technology                                     ,The Hong Kong University of Science and Technology                                   ,https://www.ust.hk/                    ,🇭🇰
  6 ,HK02 ,CityUHK Underwater Robotics - PIONEER ,https://www.ee.cityu.edu.hk/current_students/CityU_Underwater_Robotics_Team ,City University of Hong Kong                                                           ,City University of Hong Kong                                                         ,https://www.cityu.edu.hk/              ,🇭🇰
  7 ,HK03 ,Manta Ray                             ,                                                                            ,The Hong Kong Polytechnic University                                                   ,The Hong Kong Polytechnic University                                                 ,https://www.polyu.edu.hk/              ,🇭🇰
  8 ,HK04 ,Searious Business                     ,                                                                            ,The Hong Kong Polytechnic University                                                   ,The Hong Kong Polytechnic University                                                 ,https://www.polyu.edu.hk/              ,🇭🇰
  9 ,ID01 ,FIToplankton                          ,                                                                            ,Telkom University                                                                      ,Telkom University                                                                    ,https://telkomuniversity.ac.id/        ,🇮🇩
 10 ,ID02 ,Tech SAS                              ,                                                                            ,Telkom University                                                                      ,Telkom University                                                                    ,https://telkomuniversity.ac.id/        ,🇮🇩
 11 ,ID03 ,MARE VICTOR                           ,                                                                            ,Airlangga University                                                                   ,Airlangga University                                                                 ,https://www.unair.ac.id/               ,🇮🇩
 12 ,ID04 ,HYDROships                            ,https://www.instagram.com/hydroships.ppns/                                  ,Shipbuilding institute of polytechnic surabaya                                         ,Shipbuilding Institute of Polytechnic Surabaya                                       ,https://www.its.ac.id/                 ,🇮🇩
 13 ,ID05 ,Barelang Marine Robotics Team         ,                                                                            ,Politeknik Negeri Batam                                                                ,Politeknik Negeri Batam                                                              ,https://www.polibatam.ac.id/en/home/   ,🇮🇩
 14 ,ID06 ,N7-AUV                                ,                                                                            ,Institut Pertanian Bogor / IPB University - University                                 ,Institut Pertanian Bogor (IPB University)                                            ,https://www.ipb.ac.id/                 ,🇮🇩
 15 ,ID07 ,Skullers Boro HMFT-ITB                ,                                                                            ,Institut Teknologi Bandung                                                             ,Institut Teknologi Bandung                                                           ,https://www.itb.ac.id/                 ,🇮🇩
 16 ,ID08 ,Subnautic Rimau                       ,                                                                            ,Universitas Sriwijaya                                                                  ,Universitas Sriwijaya                                                                ,https://www.unsri.ac.id/               ,🇮🇩
 17 ,ID09 ,Banyubramanta                         ,                                                                            ,Sepuluh Nopember Institute of Technology                                               ,Sepuluh Nopember Institute of Technology                                             ,https://www.its.ac.id/                 ,🇮🇩
 18 ,ID10 ,Marine Belido                         ,                                                                            ,Universitas Multi Data Palembang                                                       ,Universitas Multi Data Palembang                                                     ,https://mdp.ac.id/                     ,🇮🇩
 19 ,ID11 ,N3.2-AUV                              ,                                                                            ,IPB University                                                                         ,IPB University                                                                       ,https://www.ipb.ac.id/                 ,🇮🇩
 20 ,IN01 ,HydroBots HAVOC                       ,                                                                            ,"KMEA ENGINEERING COLLEGE , UNIVERSITY "                                               ,KMEA Engineering College                                                             ,https://www.kmeacollege.ac.in/         ,🇮🇳
 21 ,IN02 ,Team Black Pearl                      ,                                                                            ,Mahindra University                                                                    ,Mahindra University                                                                  ,https://www.mahindrauniversity.edu.in/ ,🇮🇳
 22 ,IN03 ,Team Nirma AUV                        ,https://cra.nirmauni.ac.in/activities/auv/                                  ,"Institute of Technology, Nirma University"                                            ,"Institute of Technology, Nirma University"                                          ,https://www.nirmauni.ac.in/            ,🇮🇳
 23 ,IN04 ,MTS AUV-ZHCET                         ,                                                                            ,Aligarh Muslim University                                                              ,Aligarh Muslim University                                                            ,https://www.amu.ac.in/                 ,🇮🇳
 24 ,IN05 ,Team Tiburon                          ,                                                                            ,"National Institute of Technology, Rourkela"                                           ,"National Institute of Technology, Rourkela"                                         ,https://www.nitrkl.ac.in/              ,🇮🇳
 25 ,IN06 ,Offset                                ,                                                                            ,Plaksha University                                                                     ,Plaksha University                                                                   ,https://www.plaksha.org/               ,🇮🇳
 26 ,IN07 ,AUV Society IIITDM                    ,https://auviiitdm.github.io/                                                ,"IIITDM Kancheepuram, university"                                                      ,IIITDM Kancheepuram                                                                  ,https://www.iiitdm.ac.in/              ,🇮🇳
 27 ,IN08 ,Team Varuna                           ,                                                                            ,Sairam Instructions                                                                    ,Sairam Institutions                                                                  ,https://www.sairam.edu.in/             ,🇮🇳
 28 ,IN09 ,Dreadnoughtrobotics                   ,                                                                            ,"VIT Chennai,University "                                                              ,"VIT Chennai, University"                                                            ,https://chennai.vit.ac.in/             ,🇮🇳
 29 ,IN10 ,VAUV                                  ,                                                                            ,Vellore Institute of Technology. University                                            ,Vellore Institute of Technology                                                      ,https://www.vit.ac.in/                 ,🇮🇳
 30 ,IN11 ,Nautical Navigators                   ,                                                                            ,Chinmaya Vishwa Vidyapeeth Kerala                                                      ,"Chinmaya Vishwa Vidyapeeth, Kerala"                                                 ,https://www.cvv.ac.in/                 ,🇮🇳
 31 ,IN12 ,blue revolution                       ,                                                                            ,"CSIR NIO (Institute), BITS Goa (Instititute), Manipal University Jaipur (University)" ,"Manipal University Jaipur (University), BITS Goa (Institute), CSIR-NIO (Institute)" ,https://jaipur.manipal.edu/            ,🇮🇳
 32 ,IN13 ,Team BITAUV                           ,                                                                            ,Bannari Amman Institute of Technology                                                  ,Bannari Amman Institute of Technology                                                ,https://www.bitsathy.ac.in/            ,🇮🇳
 33 ,IN14 ,Brahmaputra                           ,                                                                            ,Birla Vishvakarma Mahavidyalaya Eng. College                                           ,Birla Vishvakarma Mahavidyalaya Engineering College                                  ,https://www.bvcoend.ac.in/             ,🇮🇳
 34 ,IN15 ,AUV-IITK                              ,                                                                            ,"Indian Institute of Technology Kanpur , University"                                   ,"Indian Institute of Technology Kanpur, University"                                  ,https://www.iitk.ac.in/                ,🇮🇳
 35 ,IN16 ,Team VAUV                             ,                                                                            ,"Vellore Institute Of Technology, Vellore"                                             ,"Vellore Institute of Technology, Vellore"                                           ,https://www.vit.ac.in/                 ,🇮🇳
 36 ,LK01 ,Team Yathra                           ,                                                                            ,University of Peradeniya                                                               ,University of Peradeniya                                                             ,https://www.pdn.ac.lk/                 ,🇱🇰
 37 ,LK02 ,Team Diyakawa                         ,                                                                            ,University of Moratuwa                                                                 ,University of Moratuwa                                                               ,https://www.mrt.ac.lk/                 ,🇱🇰
 38 ,MO01 ,Immortal Bird                         ,                                                                            ,PUI CHING MIDDLE SCHOOL MACAU                                                          ,"Pui Ching Middle School, Macau"                                                     ,https://www.puiching.edu.mo/           ,🇲🇴
 39 ,MY01 ,UTM AUV ELITE (UAE)                   ,                                                                            ,"University of Technology, Malaysia"                                                   ,"University of Technology, Malaysia"                                                 ,https://www.utm.my/                    ,🇲🇾
