Committee,Role
Ahmed,Co-Chair
Amy,Dive Coordinator
Anshu,Vice Chair / Logistics / Technical Committee
Bharath,Technical Committee
Cheah Siang,Treasurer
Chi Cheng,Academic Committee
Chinmay,Technical Committee / Webmaster
Ercan,Logistics
Hari,Secretary
Harold,Logistics
Kee,Logistics
Liang Jie,Logistics
Malika,Publicity
Mandar,Technical Committee
Manu,Co-Chair
Nicolas,Publicity
Rajat,Publicity / Webmaster
Ryan,Social Media
Saima,Social Media
Teong Beng Koay,Safety
Venu,Publicity / Sponsorship
Too,Academic committee
