id,name,url,city,COUNTRY-O,country,Educational institute name,institute,institute-url
SAUVC-BD-01,BRACU Duburi,,Dhaka,BANGLADESH,Bangladesh,BRAC University,BRAC University,https://www.bracu.ac.bd
SAUVC-BD-02,Team Atlas,,Dhaka,BANGLADESH,Bangladesh,Dhaka college,Dhaka College,https://dhakacollege.edu.bd/
SAUVC-CN-01,I-Sea,,Shanghai,CHINA,China,Shanghai Jiao Tong University,Shanghai Jiao Tong University,http://en.sjtu.edu.cn/
SAUVC-CN-02,Intelligence Marine Vehicle Team,,Xi'an,CHINA,China,Northwestern Polytechnical University,Northwestern Polytechnical University,http://en.nwpu.edu.cn/
SAUVC-HK-01,Uprising,https://www.facebook.com/uprisingrov/,,HONG KONG,Hong Kong,The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,https://www.polyu.edu.hk/web/en/home/index.html
SAUVC-HK-02,CityU Underwater Robotics - Pioneer,http://www.ee.cityu.edu.hk/~rovteam/,,HONG KONG,Hong Kong,City University of Hong Kong,City University Of Hong Kong,https://www.cityu.edu.hk/
SAUVC-HK-03,CityU Underwater Robotics - Juneer,http://www.ee.cityu.edu.hk/~rovteam/,,HONG KONG,Hong Kong,City University of Hong Kong,City University Of Hong Kong,https://www.cityu.edu.hk/
SAUVC-IN-01,Bored Designers,,Delhi,INDIA,India,Indraprastha University,Indraprastha University,http://www.ipu.ac.in/
SAUVC-IN-02,NIA Phoenix Team,,Tiruchirapalli,INDIA,India,Sri Chaitanya Techno School & RSK Higher Sec School,Sri Chaitanya Techno School & Rsk Higher Sec School,https://srichaitanyaschool.net/
SAUVC-IN-03,AUV Varuna,,Kadayirippu,INDIA,India,Sree Narayana Gurukulam College of Engineering,Sree Narayana Gurukulam College Of Engineering,http://www.sngce.ac.in/
SAUVC-IN-04,SCET,,Ahmedabad,INDIA,India,Gujarat Technological University,Gujarat Technological University,https://www.gtu.ac.in/
SAUVC-IN-05,Team AUV MPSTME,http://auv.mpstme.co.in/,Mumbai,INDIA,India,"Mukesh Patel School of Technology Management & Engineering, NMIMS","Mukesh Patel School of Technology Management & Engineering, NMIMS",http://engineering.nmims.edu/
SAUVC-IN-06,VARUNA,,Bengaluru,INDIA,India,Sri Sairam College of Engineering,Sri Sairam College Of Engineering,http://sairamce.edu.in/
SAUVC-IN-07,TOUGH TECHS,,Chennai,INDIA,India,Aarupadai Veedu Institute Of Technology ,Aarupadai Veedu Institute Of Technology ,https://www.avit.ac.in/
SAUVC-IN-08,GENCONIANS,,Ludhiana,INDIA,India,Guru Nanak Dev Engineering College,Guru Nanak Dev Engineering College,https://www.gndec.ac.in/
SAUVC-IN-09,THE BHARATHIANS  ,,Chennai,INDIA,India,BHARATH INSTITUTION OF HIGHER EDUCATION AND RESEARCH ,Bharath Institution Of Higher Education And Research ,https://www.bharathuniv.ac.in/
SAUVC-IN-10,INERTIA,,Chennai,INDIA,India,PANIMALAR ENGINEERING COLLEGE,Panimalar Engineering College,https://www.panimalar.ac.in/
SAUVC-IN-11,Team Aqua,,Chennai,INDIA,India,Panimalar Engineering College,Panimalar Engineering College,https://www.panimalar.ac.in/
SAUVC-IN-12,The Marine Robotics Team,http://www.tmrt-kjsce.com/,Mumbai,INDIA,India,K. J. Somaiya College of Engineering,K. J. Somaiya College Of Engineering,https://kjsce.somaiya.edu/kjsce/
SAUVC-IN-13,Tiburon,https://auvnitrkl.github.io/,Rourkela,INDIA,India,"National Institute of Technology, Rourkela","National Institute Of Technology, Rourkela",http://www.nitrkl.ac.in/
SAUVC-IN-14,POSEIDON,,Chennai,INDIA,India,Sri Sairam Engineering College,Sri Sairam Engineering College,https://sairam.edu.in/
SAUVC-IN-15,AUV-IITK,http://auviitk.com/,Kanpur,INDIA,India,Indian Institute of Technology,Indian Institute Of Technology,http://www.iitk.ac.in/
SAUVC-IN-16,DTU AUV,http://auv.dtu.ac.in/,Delhi,INDIA,India,Delhi Technological University,Delhi Technological University,http://dtu.ac.in/
SAUVC-IN-17,Team ATV,,Kancheepuram,INDIA,India,IIITDM Kancheepuram,IIITDM Kancheepuram,http://www.iiitdm.ac.in/
SAUVC-IN-18,Trident Labs,http://tridentlabs.org/,Pune,INDIA,India,Vishwakarma Institute of Technology,Vishwakarma Institute Of Technology,http://www.vit.edu/
SAUVC-IN-19,Team SRMAUV,http://www.teamsrmauv.com/,Chennai,INDIA,India,SRM Institute Of Science and Technology,Srm Institute Of Science And Technology,http://www.srmuniv.ac.in/
SAUVC-IN-20,Team Hydra,https://www.facebook.com/rvceteamHydra/,Bengaluru,INDIA,India,R.V. College OF ENGINEERING,R.V. College Of Engineering,https://rvce.edu.in/
SAUVC-IN-21,Team AUV IIT KGP,https://auviitkgp.github.io/,Kharagpur,INDIA,India,Indian Institute of Technology,Indian Institute Of Technology,http://www.iitkgp.ac.in/
SAUVC-IN-22,Team KAIJU,,Chennai,INDIA,India,SRI VENKATESWARA COLLEGE OF ENGINEERING ,Sri Venkateswara College Of Engineering ,https://www.svce.ac.in/
SAUVC-IN-23,Team AUV ACE,,Mumbai,INDIA,India,Atharva College of Engineering,Atharva College Of Engineering,http://www.atharvacoe.ac.in/
SAUVC-IN-24,BITUUV,,Coimbatore,INDIA,India,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,Bannari Amman Institute Of Technology,https://bitsathy.ac.in/
SAUVC-IN-25,BIT-AUV,,Coimbatore,INDIA,India,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,Bannari Amman Institute Of Technology,https://bitsathy.ac.in/
SAUVC-IN-26,Team NIRMA AUV,,Ahmedabad,INDIA,India,Nirma university,Nirma University,http://www.nirmauni.ac.in/
SAUVC-ID-01,AREK ELIN,,Surabaya,INDONESIA,Indonesia,Electronics Engineering Polytechnic Institute of Surabaya,Electronics Engineering Polytechnic Institute Of Surabaya,https://www.pens.ac.id/
SAUVC-ID-02,N3-AUV,,Bogor,INDONESIA,Indonesia,Bogor Agricultural University,Bogor Agricultural University,https://ipb.ac.id/
SAUVC-ID-03,N2 -AUV,,Bogor,INDONESIA,Indonesia,Bogor Agricultural University,Bogor Agricultural University,https://ipb.ac.id/
SAUVC-ID-04,Tech_SAS,,Bandung,INDONESIA,Indonesia,Telkom University,Telkom University,https://telkomuniversity.ac.id/
SAUVC-ID-05,ABS,,Semarang,INDONESIA,Indonesia,UNIVERSITAS NEGERI SEMARANG,Universitas Negeri Semarang,https://unnes.ac.id/en/
SAUVC-JP-01,clairvoyance,,Tokyo,JAPAN,Japan,The University of Tokyo,The University Of Tokyo,https://www.u-tokyo.ac.jp/en/index.html
SAUVC-KE-01,AUVKENYA,,Nairobi,KENYA,Kenya,defence forces technical college,Defence Forces Technical College,
SAUVC-MO-01,The Phoenix,,,MACAU,Macau,Macau Pui Ching Middle School,Macau Pui Ching Middle School,http://m.puiching.edu.mo/
SAUVC-MY-01,IIUM ROBOTEAM,http://www.roboteam.com.my/,Gombak,MALAYSIA,Malaysia,International Islamic University Malaysia,International Islamic University Malaysia,http://www.iium.edu.my/
SAUVC-MY-02,TUAH 3.0,,Melaka,MALAYSIA,Malaysia,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,Universiti Teknikal Malaysia Melaka,http://www.utem.edu.my/
SAUVC-MY-03,Noah's Ark,,Melaka,MALAYSIA,Malaysia,Universiti Teknikal Malaysia Melaka,Universiti Teknikal Malaysia Melaka,http://www.utem.edu.my/
SAUVC-MY-04,UTeM Panther,,Melaka,MALAYSIA,Malaysia,Universiti Teknikal Malaysia Melaka,Universiti Teknikal Malaysia Melaka,http://www.utem.edu.my/
SAUVC-QA-01,QU Alligators,,Doha,QATAR,Qatar,Qatar University,Qatar University,http://www.qu.edu.qa/
SAUVC-QA-02,Challengers,,Doha,QATAR,Qatar,Qatar University,Qatar University,http://www.qu.edu.qa/
SAUVC-RU-01,FEFU/IMTP,https://sites.google.com/site/fefuunderwaterrobotics/auv,Vladivostok,RUSSIA,Russia,Far Eastern Federal University,Far Eastern Federal University,https://www.dvfu.ru/en/
SAUVC-RU-02,Hydronautics,https://twitter.com/hydronautics,Moscow,RUSSIA,Russia,Bauman Moscow State Technical University,Bauman Moscow State Technical University,http://www.bmstu.ru/en/
SAUVC-SG-01,Speedy Gonzales,,,SINGAPORE,Singapore,ITE College Central,Ite College Central,ITE College Central
SAUVC-SG-02,Hornet,https://bumblebee.sg/category/blog/team-hornet/,,SINGAPORE,Singapore,National University of Singapore,National University Of Singapore,http://nus.edu.sg/
SAUVC-SG-03,C-Bas,,,SINGAPORE,Singapore,Nanyang Technological University,Nanyang Technological University,http://www.ntu.edu.sg/Pages/home.aspx
SAUVC-SG-04,NL,,,SINGAPORE,Singapore,,,
SAUVC-SG-05,Team Bloop,,,SINGAPORE,Singapore,Singapore Polytechnic,Singapore Polytechnic,https://www.sp.edu.sg/
