Team ID,Team name,Educational institute name,COUNTRY
SAUVC-RU-01,FEFU/IMTP,Far Eastern Federal University,RUSSIA
SAUVC-BD-01,BRACU Duburi,BRAC University,BANGLADESH
SAUVC-BD-02,Team Atlas,"Dhaka college, Dhaka, Bangladesh",BANGLADESH
SAUVC-CN-01,I-Sea,Shanghai Jiao Tong University,CHINA
SAUVC-CN-02,Intelligence Marine Vehicle Team (IMVT),Northwestern Polytechnical University,CHINA
SAUVC-HK-01,Uprising,The Hong Kong Polytechnic University,HONGKONG
SAUVC-HK-02,CityU Underwater Robotics - Pioneer,City University of Hong Kong,HONGKONG
SAUVC-HK-03,CityU Underwater Robotics - Juneer,City University of Hong Kong,HONGKONG
SAUVC-ID-03,N2 -AUV (Nusantara 2-Autonomous Underwater Vehicle),Bogor Agricultural University,INDONESIA
SAUVC-ID-04,Tech_SAS,Telkom University,INDONESIA
SAUVC-IN-05,Team AUV MPSTME,"Mukesh Patel School of Technology Management & Engineering, NMIMS",INDIA
SAUVC-IN-13,Tiburon,"National Institute of Technology, Rourkela",INDIA
SAUVC-IN-15,AUV-IITK,Indian Institute of Technology,INDIA
SAUVC-IN-16,DTU AUV,Delhi Technological University,INDIA
SAUVC-IN-17,Team ATV,IIITDM Kancheepuram,INDIA
SAUVC-IN-18,Trident Labs,"Vishwakarma Institute of Technology, Pune",INDIA
SAUVC-IN-22,Team KAIJU,SRI VENKATESWARA COLLEGE OF ENGINEERING ,INDIA
SAUVC-IN-25,BIT-AUV,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,INDIA
SAUVC-IN-26,Team NIRMA AUV,Nirma university,INDIA
SAUVC-MY-02,TUAH 3.0,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,MALAYSIA
SAUVC-MY-03,Noah's Ark,Universiti Teknikal Malaysia Melaka,MALAYSIA
SAUVC-MY-04,UTeM Panther,Universiti Teknikal Malaysia Melaka,MALAYSIA
SAUVC-RU-02,Hydronautics,Bauman Moscow State Technical University,RUSSIA
SAUVC-SG-02,Hornet,National University of Singapore,SINGAPORE
SAUVC-SG-03,C-Bas,Nanyang Technological University,SINGAPORE
SAUVC-SG-05,Team Bloop,Singapore Polytechnic,SINGAPORE
SAUVC-SG-06,NPES ,Ngee Ann Polytechnic,SINGAPORE
SAUVC-SG-07,Bubbles,SUTD,SINGAPORE
SAUVC-TH-01,Zeabus ,Kasetsart University,THAILAND
SAUVC-TH-02,POSEIDON,"Princess Chulabhorn Science High School Chonburi,Thailand.",THAILAND
SAUVC-TW-01,PENGUIN _ PO,National Chiao Tung University,TAIWAN
SAUVC-ID-02,N3-AUV,Bogor Agricultural University,INDONESIA
SAUVC-ID-05,ABS,UNIVERSITAS NEGERI SEMARANG,INDONESIA
SAUVC-IN-12,The Marine Robotics Team (TMRT),K. J. Somaiya College of Engineering,INDIA
SAUVC-IN-19,Team SRMAUV,"SRM Institute Of Science and Technology, Chennai",INDIA
SAUVC-JP-01,clairvoyance,The University of Tokyo,JAPAN
SAUVC-LK-01,Yathra,University of peradeniya,SRI LANKA
SAUVC-MO-01,The Phoenix,Macau Pui Ching Middle School,MACAU
SAUVC-SG-01,Speedy Gonzales,ITE College Central,SINGAPORE
SAUVC-MY-01,IIUM ROBOTEAM,International Islamic University Malaysia (IIUM),MALAYSIA
